"NMF1"	"NMF2"	"NMF3"	"NMF4"	"NMF5"	"NMF6"	"NMF7"	"NMF8"	"NMF9"	"NMF10"	"NMF11"	"NMF12"	"NMF13"
"ABAT_FORALL_143"	1.16346581831927	0.562134510798127	-1.00238946205636	2.21131040109183	-0.704199715207382	2.62608327810681	-6.37215767316453	1.92919212246108	0.843814624371108	-3.02910179494868	0.4719001548813	-1.75909898562343	2.55440118910121
"ABCC4_FORALL_132"	1.44729264166163	0.48670054996879	-1.93424599826024	0.469142247661339	-1.85163165865901	0.112235483270833	-5.75426354038553	0.484577729171368	4.70257168488154	-0.247916087777157	-3.57743579237394	1.25703965873476	6.40936235013738
"ABCC5_FORALL_030"	-1.16925659976194	-3.10914524369946	-1.13440028930872	5.449594086357	0.661157996904285	-1.45340333213263	1.75509658907108	1.33309967122645	-1.16900434445297	-2.5065502367076	-2.03660835205351	2.27305663420252	2.76152131838465
"ABCC5_FORALL_040"	-1.1353979098401	-3.27081842714899	-0.852187752706164	5.60643362224314	1.08029015018339	-0.652600642299725	1.19300055874836	0.887599898272947	-0.846336691066276	-2.95909421399202	-2.87539814908216	2.59813522885772	2.94199372864461
"ABCC5_FORALL_070"	0.39577306043303	-4.38310062806248	-0.290386065977171	3.20592340788469	0.37433282934966	-1.00660504224186	1.77987533822993	1.74013122282921	-0.739730044198257	-4.94997035749629	-3.38245439934467	6.63525670541957	3.1121268583705
"ABCC5_FORALL_114"	-1.50700608401178	-3.2567368307276	-0.50821847330523	5.97691395065812	0.657746843850775	-1.36198160805922	1.6392443918435	0.97941096090412	-0.423998447384628	-3.43200419335227	-2.41259667752442	2.78984889930009	2.70263462315032
"ABCC5_FORALL_159"	-2.51353823679576	-3.99734180638364	1.63696959870684	2.69163730380032	5.79995873595935	-2.88050011892805	10.7101412120262	-0.0855335527514225	-3.37802903428723	-1.02942513647599	-2.89024086494648	0.489638140794337	-1.74000173238425
"ABCD1_FORALL_011"	-0.0208336933660252	2.14366069945273	0.650631732906661	-0.294380921827839	-0.345521209362275	0.473788694634474	-4.31187825398491	-1.35332991315316	8.6924987499696	-2.43042526318247	-1.97836717055007	-0.135893848005021	1.71101845546976
"ABCD1_FORALL_083"	0.336053895320357	0.0554923517916259	1.69149911640522	1.48704560227056	-1.87924329249744	0.129991944193169	-4.61226262093701	-1.28047109263325	4.32080149543187	-2.97734445605205	-0.0746105136568286	1.48255133992023	2.5237328105152
"ABCD1_FORALL_092"	-0.298784842513499	1.56454208625445	0.175967446107053	1.00075230040663	-0.59209291466177	-0.488353150865068	-4.79383106489318	-1.36882082778322	8.094423541003	-1.71851004161502	-1.35959741165294	0.376655715604035	1.83298667438708
"ABCD1_FORALL_125"	0.336053895320357	0.0554923517916259	1.69149911640522	1.48704560227056	-1.87924329249744	0.129991944193169	-4.61226262093701	-1.28047109263325	4.32080149543187	-2.97734445605205	-0.0746105136568286	1.48255133992023	2.5237328105152
"ABCD4_FORALL_081"	-0.35815702838092	-2.43812883959885	3.21410027265066	1.69781308256209	-2.44805659232535	0.437271586457641	0.561278339423433	0.938448215817583	-3.72602305442374	-2.28318234089335	2.40387384251265	0.958082763331678	-0.392517002779039
"ABHD10_FORALL_010"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_021"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_031"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_032"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_035"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_040"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_046"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_052"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_068"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_084"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_085"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_089"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_105"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_109"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_131"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_134"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD10_FORALL_142"	0.114147387160337	-0.567672791474582	0.272302158617477	1.48409213525702	2.63271123192216	0.124182419238517	-0.835994695447265	-2.13474895271009	0.28108374577019	-4.59757019218979	-0.635171496166332	0.890881783041513	3.13008194779402
"ABHD10_FORALL_145"	-0.507903043185818	0.753868563125263	1.27360870689786	1.14797816983914	1.3815812071853	-0.000833940613382509	0.203872447255738	-2.26346554078191	-0.14668640381146	-5.3384179876637	0.437580871837196	0.371955080207726	1.89283569324865
"ABHD11_FORALL_123"	3.68363489707465	2.24729742747661	0.307370671277609	-1.35905371008936	-0.14827566975822	-3.2059312792224	-1.20400138748469	2.19068533655322	-1.81051891277216	-4.0868828784455	-1.41787536302775	3.01103793953322	3.78337934930087
