"V1"	"V2"	"complex"	"location_V1"	"location_V2"
"203"	"PSMD13"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"204"	"PSMD8"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"205"	"PSMD7"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"206"	"PSMD4"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"207"	"PSMC4"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"208"	"PSMC5"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"209"	"PSMC6"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"210"	"PSMD2"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"211"	"PSMD6"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"212"	"PSMD5"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"213"	"PSMD1"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"214"	"PSMD13"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"215"	"PSMD8"	"PSMD7"	"PA700 complex"	"Cytosol"	"Cytosol"
"216"	"PSMD8"	"PSMD4"	"PA700 complex"	"Cytosol"	"Cytosol"
"217"	"PSMD8"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"218"	"PSMD8"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"219"	"PSMD8"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"220"	"PSMD8"	"PSMD2"	"PA700 complex"	"Cytosol"	"Cytosol"
"221"	"PSMD8"	"PSMD6"	"PA700 complex"	"Cytosol"	"Cytosol"
"222"	"PSMD8"	"PSMD5"	"PA700 complex"	"Cytosol"	"Cytosol"
"223"	"PSMD8"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"224"	"PSMD8"	"PSMD13"	"PA700 complex"	"Cytosol"	"Cytosol"
"225"	"PSMD7"	"PSMD4"	"PA700 complex"	"Cytosol"	"Cytosol"
"226"	"PSMD7"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"227"	"PSMD7"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"228"	"PSMD7"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"229"	"PSMD7"	"PSMD2"	"PA700 complex"	"Cytosol"	"Cytosol"
"230"	"PSMD7"	"PSMD6"	"PA700 complex"	"Cytosol"	"Cytosol"
"231"	"PSMD7"	"PSMD5"	"PA700 complex"	"Cytosol"	"Cytosol"
"232"	"PSMD7"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"233"	"PSMD7"	"PSMD13"	"PA700 complex"	"Cytosol"	"Cytosol"
"234"	"PSMD4"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"235"	"PSMD4"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"236"	"PSMD4"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"237"	"PSMD4"	"PSMD2"	"PA700 complex"	"Cytosol"	"Cytosol"
"238"	"PSMD6"	"PSMD4"	"PA700 complex"	"Cytosol"	"Cytosol"
"239"	"PSMD5"	"PSMD4"	"PA700 complex"	"Cytosol"	"Cytosol"
"240"	"PSMD4"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"241"	"PSMD4"	"PSMD13"	"PA700 complex"	"Cytosol"	"Cytosol"
"242"	"PSMC5"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"243"	"PSMC6"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"244"	"PSMD2"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"245"	"PSMD6"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"246"	"PSMD5"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"247"	"PSMD1"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"248"	"PSMD13"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"249"	"PSMC6"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"250"	"PSMD2"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"251"	"PSMD6"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"252"	"PSMD5"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
