"V1"	"V2"	"gene_symbol1"	"gene_symbol2"
"211"	"ENSG00000002834"	"ENSG00000166831"	"RBPMS2"	"LASP1"
"212"	"ENSG00000002834"	"ENSG00000167110"	"LASP1"	"GOLGA2"
"213"	"ENSG00000002834"	"ENSG00000167123"	"LASP1"	"CERCAM"
"214"	"ENSG00000002834"	"ENSG00000167615"	"LENG8"	"LASP1"
"215"	"ENSG00000002834"	"ENSG00000167889"	"MGAT5B"	"LASP1"
"216"	"ENSG00000002834"	"ENSG00000167987"	"VPS37C"	"LASP1"
"217"	"ENSG00000002834"	"ENSG00000169813"	"LASP1"	"HNRNPF"
"218"	"ENSG00000002834"	"ENSG00000174279"	"LASP1"	"EVX2"
"219"	"ENSG00000002834"	"ENSG00000175294"	"LASP1"	"CATSPER1"
"220"	"ENSG00000002834"	"ENSG00000176105"	"YES1"	"LASP1"
"221"	"ENSG00000002834"	"ENSG00000176125"	"UFSP1"	"LASP1"
"222"	"ENSG00000002834"	"ENSG00000177613"	"LASP1"	"CSTF2T"
"223"	"ENSG00000002834"	"ENSG00000179455"	"MKRN3"	"LASP1"
"224"	"ENSG00000002834"	"ENSG00000179933"	"LASP1"	"C14orf119"
"225"	"ENSG00000002834"	"ENSG00000183230"	"LASP1"	"CTNNA3"
"226"	"ENSG00000002834"	"ENSG00000183283"	"LASP1"	"DAZAP2"
"227"	"ENSG00000002834"	"ENSG00000183386"	"LASP1"	"FHL3"
"228"	"ENSG00000002834"	"ENSG00000185359"	"LASP1"	"HGS"
"229"	"ENSG00000002834"	"ENSG00000186153"	"WWOX"	"LASP1"
"230"	"ENSG00000002834"	"ENSG00000186925"	"LASP1"	"KRTAP19-6"
"231"	"ENSG00000002834"	"ENSG00000186930"	"LASP1"	"KRTAP6-2"
"232"	"ENSG00000002834"	"ENSG00000186967"	"LASP1"	"KRTAP19-4"
"233"	"ENSG00000002834"	"ENSG00000187766"	"LASP1"	"KRTAP10-8"
"234"	"ENSG00000002834"	"ENSG00000188021"	"UBQLN2"	"LASP1"
"235"	"ENSG00000002834"	"ENSG00000188313"	"PLSCR1"	"LASP1"
"236"	"ENSG00000002834"	"ENSG00000188493"	"LASP1"	"ACTMAP"
"237"	"ENSG00000002834"	"ENSG00000188747"	"NOXA1"	"LASP1"
"238"	"ENSG00000002834"	"ENSG00000196628"	"TCF4"	"LASP1"
"239"	"ENSG00000002834"	"ENSG00000196843"	"LASP1"	"ARID5A"
"240"	"ENSG00000002834"	"ENSG00000197191"	"LASP1"	"CYSRT1"
"241"	"ENSG00000002834"	"ENSG00000197683"	"LASP1"	"KRTAP26-1"
"242"	"ENSG00000002834"	"ENSG00000198218"	"QRICH1"	"LASP1"
"243"	"ENSG00000002834"	"ENSG00000198844"	"LASP1"	"ARHGEF15"
"244"	"ENSG00000002834"	"ENSG00000204713"	"TRIM27"	"LASP1"
"245"	"ENSG00000002834"	"ENSG00000204918"	"PRR20B"	"LASP1"
"246"	"ENSG00000002834"	"ENSG00000204919"	"PRR20A"	"LASP1"
"247"	"ENSG00000002834"	"ENSG00000206052"	"LASP1"	"DOK6"
"248"	"ENSG00000002834"	"ENSG00000206538"	"VGLL3"	"LASP1"
"249"	"ENSG00000002834"	"ENSG00000212899"	"LASP1"	"KRTAP3-3"
"250"	"ENSG00000002834"	"ENSG00000212900"	"LASP1"	"KRTAP3-2"
"251"	"ENSG00000002834"	"ENSG00000212933"	"LASP1"	"KRTAP12-4"
"252"	"ENSG00000002834"	"ENSG00000213588"	"ZBTB9"	"LASP1"
"253"	"ENSG00000002834"	"ENSG00000227151"	"PRR20D"	"LASP1"
"254"	"ENSG00000002834"	"ENSG00000229665"	"PRR20C"	"LASP1"
"255"	"ENSG00000002834"	"ENSG00000234278"	"PRR20E"	"LASP1"
"256"	"ENSG00000002834"	"ENSG00000244025"	"LASP1"	"KRTAP19-3"
"257"	"ENSG00000002834"	"ENSG00000244537"	"LASP1"	"KRTAP4-2"
"258"	"ENSG00000002834"	"ENSG00000269190"	"LASP1"	"FBXO17"
"259"	"ENSG00000002919"	"ENSG00000004838"	"ZMYND10"	"SNX11"
"260"	"ENSG00000002919"	"ENSG00000105404"	"SNX11"	"RABAC1"
"261"	"ENSG00000002919"	"ENSG00000115255"	"SNX11"	"REEP6"
"262"	"ENSG00000002919"	"ENSG00000115593"	"SNX11"	"SMYD1"
"263"	"ENSG00000002919"	"ENSG00000123119"	"SNX11"	"NECAB1"
"264"	"ENSG00000002919"	"ENSG00000143499"	"SNX11"	"SMYD2"
"265"	"ENSG00000002919"	"ENSG00000168070"	"SNX11"	"MAJIN"
"266"	"ENSG00000002919"	"ENSG00000170540"	"SNX11"	"ARL6IP1"
"267"	"ENSG00000002919"	"ENSG00000174851"	"YIF1A"	"SNX11"
"268"	"ENSG00000002919"	"ENSG00000177519"	"SNX11"	"RPRM"
"269"	"ENSG00000002933"	"ENSG00000090661"	"TMEM176A"	"CERS4"
"270"	"ENSG00000002933"	"ENSG00000105369"	"TMEM176A"	"CD79A"
"271"	"ENSG00000002933"	"ENSG00000106565"	"TMEM176B"	"TMEM176A"
"272"	"ENSG00000002933"	"ENSG00000113845"	"TMEM176A"	"TIMMDC1"
"273"	"ENSG00000002933"	"ENSG00000122033"	"TMEM176A"	"MTIF3"
"274"	"ENSG00000002933"	"ENSG00000135052"	"TMEM176A"	"GOLM1"
"275"	"ENSG00000002933"	"ENSG00000141699"	"TMEM176A"	"RETREG3"
"276"	"ENSG00000002933"	"ENSG00000145284"	"TMEM176A"	"SCD5"
"277"	"ENSG00000002933"	"ENSG00000148110"	"TMEM176A"	"MFSD14B"
"278"	"ENSG00000002933"	"ENSG00000164626"	"TMEM176A"	"KCNK5"
"279"	"ENSG00000002933"	"ENSG00000166224"	"TMEM176A"	"SGPL1"
"280"	"ENSG00000002933"	"ENSG00000213593"	"TMX2"	"TMEM176A"
"281"	"ENSG00000003056"	"ENSG00000081721"	"M6PR"	"DUSP12"
"282"	"ENSG00000003056"	"ENSG00000126777"	"M6PR"	"KTN1"
"283"	"ENSG00000003056"	"ENSG00000166002"	"SMCO4"	"M6PR"
"284"	"ENSG00000003056"	"ENSG00000171840"	"NINJ2"	"M6PR"
"285"	"ENSG00000003056"	"ENSG00000196329"	"M6PR"	"GIMAP5"
"286"	"ENSG00000003147"	"ENSG00000024862"	"ICA1"	"CCDC28A"
"287"	"ENSG00000003147"	"ENSG00000071655"	"MBD3"	"ICA1"
"288"	"ENSG00000003147"	"ENSG00000104388"	"RAB2A"	"ICA1"
"289"	"ENSG00000003147"	"ENSG00000129472"	"RAB2B"	"ICA1"
"290"	"ENSG00000003147"	"ENSG00000168395"	"ING5"	"ICA1"
"291"	"ENSG00000003400"	"ENSG00000101966"	"XIAP"	"CASP10"
"292"	"ENSG00000003402"	"ENSG00000056558"	"TRAF1"	"CFLAR"
"293"	"ENSG00000003756"	"ENSG00000005102"	"RBM5"	"MEOX1"
"294"	"ENSG00000003756"	"ENSG00000103150"	"RBM5"	"MLYCD"
"295"	"ENSG00000003756"	"ENSG00000106511"	"RBM5"	"MEOX2"
"296"	"ENSG00000003987"	"ENSG00000104643"	"MTMR9"	"MTMR7"
"297"	"ENSG00000003987"	"ENSG00000134480"	"MTMR7"	"CCNH"
"298"	"ENSG00000004059"	"ENSG00000132744"	"ARF5"	"ACY3"
"299"	"ENSG00000004059"	"ENSG00000178498"	"DTX3"	"ARF5"
"300"	"ENSG00000004142"	"ENSG00000023330"	"POLDIP2"	"ALAS1"
"301"	"ENSG00000004142"	"ENSG00000080572"	"POLDIP2"	"DNAAF6"
"302"	"ENSG00000004142"	"ENSG00000106153"	"POLDIP2"	"CHCHD2"
"303"	"ENSG00000004142"	"ENSG00000132938"	"POLDIP2"	"MTUS2"
"304"	"ENSG00000004142"	"ENSG00000177674"	"POLDIP2"	"AGTRAP"
"305"	"ENSG00000004399"	"ENSG00000120075"	"PLXND1"	"HOXB5"
"306"	"ENSG00000004478"	"ENSG00000174842"	"GLMN"	"FKBP4"
"307"	"ENSG00000004487"	"ENSG00000051128"	"KDM1A"	"HOMER3"
"308"	"ENSG00000004487"	"ENSG00000061337"	"LZTS1"	"KDM1A"
"309"	"ENSG00000004487"	"ENSG00000076604"	"TRAF4"	"KDM1A"
"310"	"ENSG00000004487"	"ENSG00000094796"	"KRT31"	"KDM1A"
"311"	"ENSG00000004487"	"ENSG00000100065"	"KDM1A"	"CARD10"
"312"	"ENSG00000004487"	"ENSG00000100109"	"TFIP11"	"KDM1A"
"313"	"ENSG00000004487"	"ENSG00000101624"	"KDM1A"	"CEP76"
"314"	"ENSG00000004487"	"ENSG00000103154"	"NECAB2"	"KDM1A"
"315"	"ENSG00000004487"	"ENSG00000103852"	"TTC23"	"KDM1A"
"316"	"ENSG00000004487"	"ENSG00000104892"	"KLC3"	"KDM1A"
"317"	"ENSG00000004487"	"ENSG00000104964"	"TLE5"	"KDM1A"
"318"	"ENSG00000004487"	"ENSG00000105717"	"PBX4"	"KDM1A"
"319"	"ENSG00000004487"	"ENSG00000110330"	"KDM1A"	"BIRC2"
"320"	"ENSG00000004487"	"ENSG00000116044"	"NFE2L2"	"KDM1A"
"321"	"ENSG00000004487"	"ENSG00000117625"	"RCOR3"	"KDM1A"
