"SymbolA"	"SymbolB"
"622"	"GNG3"	"FLNC"
"623"	"GNG3"	"GNAI2"
"624"	"GNG3"	"GNAO1"
"625"	"GNG3"	"GNAT2"
"626"	"GNG3"	"GNAS"
"627"	"GNG3"	"GNAI1"
"628"	"PDCL"	"GNG3"
"629"	"GNG4"	"GNB4"
"630"	"GNG4"	"GNAS"
"631"	"GNG4"	"GNAI2"
"632"	"GNG4"	"GNAI3"
"633"	"GNG4"	"GNAI1"
"634"	"GNG4"	"GNAQ"
"635"	"GNG4"	"GNA13"
"636"	"PDCL"	"GNG4"
"637"	"MOSPD2"	"GNG4"
"638"	"KCTD17"	"GNG4"
"639"	"HIST1H2BJ"	"FGG"
"640"	"HIST1H2BJ"	"FGB"
"641"	"HIST1H2BJ"	"FGA"
"642"	"USP48"	"HIST1H2BJ"
"643"	"HIST1H2BJ"	"HBB"
"644"	"MDM2"	"HIST1H2BJ"
"645"	"VPS13C"	"IER3IP1"
"646"	"LSM6"	"LSM2"
"647"	"LSM6"	"LSM4"
"648"	"NAA38"	"LSM6"
"649"	"PRPF3"	"LSM6"
"650"	"PRMT5"	"LSM6"
"651"	"TUT1"	"LSM6"
"652"	"PRPF4"	"LSM6"
"653"	"RIOK1"	"LSM6"
"654"	"SART3"	"LSM6"
"655"	"PRPF31"	"LSM6"
"656"	"MEPCE"	"LSM6"
"657"	"PATL1"	"LSM6"
"658"	"WDR77"	"LSM6"
"659"	"LSM6"	"AKAP7"
"660"	"WBP4"	"LSM6"
"661"	"LSM6"	"LSM5"
"662"	"SNRPD2"	"LSM6"
"663"	"LSM6"	"CLNS1A"
"664"	"LSM6"	"C17orf79"
"665"	"LSM6"	"LSM1"
"666"	"LSM7"	"LSM6"
"667"	"SNRPE"	"LSM6"
"668"	"LSM6"	"LSM10"
"669"	"SNRPD1"	"LSM6"
"670"	"LSM6"	"LSM3"
"671"	"SIP1"	"LSM6"
"672"	"ZNF511"	"LSM6"
"673"	"STX8"	"MED9"
"674"	"TUBGCP2"	"MZT1"
